"#","LISTING","TAGS","LISTING ID","TOTAL VIEWS","FAVORITES","EST. SALES","EST. REVENUE","PRICE","LISTING AGE","DAILY VIEWS","LAST UPDATED"
1,"2026 Notion Life Planner Template, Cottagecore Dashboard (Digital Download)","notion template, notion planner, habit tracker, project management, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, notion dashboard, notion life planner, social media planner, student planner",1825825830,"5,476","240","102","$2,754","$27",457,11.98,"3/11/2026 17:45"
2,"College Student Planner Notion Template, ADHD Study Dashboard (Digital Download)","notion template, notion planner, notion life planner, adhd student planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1785036251,"1,784","47","36","$792","$22",560,3.19,"3/11/2026 16:25"
3,"Light Academia Notion Template Notion Student Planner Notion Academic Planner Notion University College Planner Aesthetic Student Dashboard","notion template, notion planner, notion life planner, study planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1773207250,"21,815","655","451","$9,922","$22",556,39.24,"3/11/2026 12:17"
4,"2026 Notion Life Planner Template, Coquette Dashboard (Digital Download)","notion template, notion planner, habit tracker, project management, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, notion dashboard, notion life planner, social media planner, student planner",1736107034,"68,634","2,242","1,290","$34,830","$27",628,109.29,"3/10/2026 19:57"
5,"Wellness Notion Bundle: Light Academia Student Planner & Self-Care Dashboard (Digital Download)","notion planner, student planner, productivity planner, digital planner, wellness planner, 2026 digital planner, assignment tracke, workout planner, notion dashboard, notion life planner, self care planner, notion second brain, aesthetic planner",1847972665,"487","29","6","$240","$40",442,1.1,"3/10/2026 12:29"
6,"Dark Academia Notion Student Planner, All-in-One Academic Dashboard (Digital Download)","notion template, notion planner, notion life planner, study planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1787041091,"10,914","360","225","$4,950","$22",556,19.63,"3/9/2026 09:28"
7,"Notion Student Planner, ADHD Academic Dashboard & Assignment Tracker (Digital Download)","notion template, notion planner, notion life planner, adhd student planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1783878805,"931","33","19","$418","$22",563,1.65,"3/8/2026 03:29"
8,"ADHD Student Planner Notion Template, Minimalist Academic Dashboard & Assignment Tracker (Digital Download)","notion template, notion planner, notion life planner, adhd student planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1786418895,"2,483","99","51","$1,122","$22",558,4.45,"3/8/2026 01:02"
9,"2026 Witchy Notion Life Planner Template, Dark Academia Dashboard (Digital Download)","habit tracker, notion template, notion planner, project management, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, notion dashboard, notion life planner, social media planner, student planner",1737912942,"30,790","2,018","578","$16,184","$28",624,49.34,"3/7/2026 18:14"
10,"Ultimate Glow Up Notion Template, Self-Care, Wellness & Fitness Planner (Digital Download)","notion planner, habit tracker, productivity planner, digital planner, wellness planner, 2026 digital planner, workout planner, self care planner, notion dashboard, notion life planner, social media planner, daily planner",1775842529,"7,325","313","151","$3,473","$23",578,12.67,"3/7/2026 13:31"
11,"2026 Matcha Notion Bundle: Life, Student, Wardrobe Planners (Digital Download)","notion template, notion planner, habit tracker, project management, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, notion dashboard, notion life planner, student planner, outfit planner",1847987121,"519","16","7","$252","$36",442,1.17,"3/6/2026 19:36"
12,"Aesthetic Wardrobe Manager Notion Template, Outfit Planner","digital planner, notion template, notion planner, notion life template, notion dashboard, That Girl Planner, simple notion, digital planner 2023, notion aesthetic, Outfit Planner, Notion Wardrobe, Fashion Template, Style Planner",1479569220,"13,284","625","301","$4,515","$15",1014,13.1,"3/6/2026 19:30"
13,"Ultimate Notion Bundle: Life Planner, Student & Wardrobe Dashboard (Digital Download)","notion template, notion planner, habit tracker, project management, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, notion dashboard, notion life planner, student planner, outfit planner",1847984631,"1,012","39","13","$468","$36",442,2.29,"3/6/2026 18:39"
14,"Glow Up Notion Planner Bundle: Light Academia Student & Wellness Life Planner Dashboard (Digital Download)","notion planner, student planner, productivity planner, digital planner, wellness planner, 2026 digital planner, assignment tracker, workout planner, self care planner, notion second brain, light academia, dark academia, homework tracker",1833774500,"577","29","7","$280","$40",442,1.31,"3/6/2026 18:18"
15,"Glow up Notion Bundle: Light Academia Student Planner & Self-Care Dashboard (Digital Download)","notion planner, student planner, productivity planner, digital planner, wellness planner, 2026 digital planner, assignment tracker, workout planner, self care planner, notion second brain, light academia, dark academia, homework tracker",1833770890,"829","51","10","$400","$40",442,1.88,"3/6/2026 18:02"
16,"2026 Notion Life Planner, Pink Dashboard Template (Digital Download)","notion template, notion planner, habit tracker, project management, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, notion dashboard, notion life planner, social media planner, student planner",1843358559,"2,353","108","44","$1,188","$27",451,5.22,"3/6/2026 17:36"
17,"Matcha Notion Life Planner, All-in-One Notion Dashboard (Digital Download)","notion template, notion planner, habit tracker, project management, assignment tracker, digital planner, 2026 digital planner, adhd planner, notion second brain, notion dashboard, notion life planner, social media planner, student planner",1827799444,"1,726","69","32","$864","$27",453,3.81,"3/6/2026 17:36"
18,"It Girl Notion Life Planner, All-in-One Notion Dashboard (Digital Download)","notion template, notion planner, habit tracker, project management, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, notion dashboard, notion life planner, social media planner, student planner",1750838601,"3,565","113","67","$1,675","$25",627,5.69,"3/6/2026 17:36"
19,"That Girl Student Planner Notion Template, Study & Life Dashboard (Digital Download)","notion template, notion planner, notion life planner, adhd student planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1655623970,"31,597","633","594","$16,038","$27",769,41.09,"3/6/2026 17:36"
20,"2026 Ultimate Wellness Notion Template, Self-Care & Fitness Planner (Digital Download)","notion planner, habit tracker, productivity planner, digital planner, wellness planner, 2026 digital planner, workout planner, self care planner, notion dashboard, notion life planner, social media planner, daily planner",1755349936,"7,419","289","153","$3,519","$23",590,12.57,"3/6/2026 17:25"
21,"2026 Notion Life Planner Template, Coquette Dashboard (Digital Download)","notion template, notion planner, habit tracker, project management, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, notion dashboard, notion life planner, social media planner, student planner",1837862393,"9,589","411","180","$4,860","$27",460,20.85,"3/6/2026 16:38"
22,"Coquette Notion Template Bundle, Student & Life Planner Dashboard (Digital Download)","notion template, notion planner, notion life planner, adhd student planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1833778056,"995","36","13","$520","$40",442,2.25,"3/6/2026 16:30"
23,"ADHD Notion Template Bundle: Student Planner & Life Planner Dashboard (Digital Download)","notion template, notion planner, notion life planner, adhd student planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1833783004,"876","38","11","$440","$40",442,1.98,"3/6/2026 16:29"
24,"Light Academia Notion Bundle, Student Planner & Life Planner Dashboard (Digital Download)","notion template, notion planner, notion life planner, adhd student planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1833776562,"454","19","5","$200","$40",442,1.03,"3/6/2026 15:47"
25,"Light Academia Notion Bundle, Student Planner & Life Planner Dashboard (Digital Download)","notion template, notion planner, notion life planner, adhd student planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1847967787,"614","24","8","$320","$40",442,1.39,"3/6/2026 15:47"
26,"Notion Academic Planner, ADHD Student Dashboard & Assignment Tracker (Digital Download)","notion template, notion planner, notion life planner, adhd student planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1770857990,"946","46","19","$418","$22",560,1.69,"3/6/2026 14:52"
27,"Minimalist Notion Life Planner Template, All-in-One Organization Dashboard (Digital Download)","notion template, notion planner, habit tracker, project management, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, notion dashboard, notion life planner, social media planner, student planner",1824384930,"588","18","11","$297","$27",459,1.28,"3/6/2026 14:41"
28,"Notion Ultimate Life Planner: All-in-One Digital Dashboard (Digital Download)","digital planner, notion template, notion planner, notion life template, notion dashboard, notion personal, Daily notion, That Girl Planner, Travel Planner, simple notion, digital planner 2023, notion aesthetic, adhd notion planner",1518242629,"50,848","1,661","955","$23,875","$25",978,51.99,"3/6/2026 04:57"
29,"Ultimate Life Planner Notion Template - All-in-One Customizable Digital Planner 2025","Notion Template, Notion Planner, Habit Tracker, Weekly Planner, All in one Planner, Notion That Girl, Notion Planner 2024, Adhd Notion, Notion Student Plan, Personal Notion, Gifts for girls, Social Media Planner, Gift",1648357642,"8,827","283","165","$4,290","$26",780,11.32,"3/6/2026 02:48"
30,"Ultimate Life Planner Notion Template, All-in-One Digital Planner 2025, Customizable, Video Guides Included","digital planner, notion template, notion planner, notion life template, notion dashboard, notion personal, Daily notion, That Girl Planner, Travel Planner, simple notion, digital planner 2023, notion aesthetic, adhd notion planner",1455009409,"66,441","1,706","1,375","$30,250","$22",1071,62.04,"3/6/2026 02:48"
31,"Notion Bundle — Witchy Life Planner & Dark Academia Student Planner Dashboard (Digital Download)","notion template, notion planner, habit tracker, project management, digital planner, assignment tracker, 2026 digital planner, dark academia, notion second brain, academic planner, notion life planner, student planner, social media planner",1833782524,"4,186","222","54","$2,160","$40",442,9.47,"3/6/2026 01:45"
32,"University Student Planner Notion Template, ADHD Study Dashboard (Digital Download)","notion template, notion planner, notion life planner, study planner, digital planner, assignment tracker, 2026 digital planner, adhd planner, notion second brain, academic planner, task tracker, college planner, student planner",1785090897,"5,349","233","110","$2,420","$22",560,9.55,"3/5/2026 23:57"
33,"Skincare Tracker Notion Template, Routine Planner (Digital)","digital planner, notion template, notion dashboard, That Girl Planner, simple notion, digital planner 2023, notion aesthetic, Notion Skincare, Skincare Tracker, Skincare Planner, Notion Beauty, Notion Wellness, Habit Tracker",1511075211,"6,816","289","225","$2,025","$9",989,6.89,"2/22/2026 16:23"
